,Date,Airline,Flight Number,Origin,Dest,Depart Delay,Arrival Delay,Cancelled
0,1/1/18,WN,408,ATL,AUS,7.0,-8.0,0
1,1/1/18,WN,572,ATL,AUS,16.0,9.0,0
2,1/1/18,WN,1887,ATL,AUS,0.0,-4.0,0
3,1/1/18,WN,170,ATL,BOS,14.0,-7.0,0
4,1/1/18,WN,1633,ATL,BOS,198.0,208.0,0
5,1/1/18,WN,1726,ATL,BOS,215.0,191.0,0
6,1/1/18,WN,418,ATL,BWI,112.0,96.0,0
7,1/1/18,WN,887,ATL,BWI,41.0,30.0,0
8,1/1/18,WN,941,ATL,BWI,3.0,-16.0,0
9,1/1/18,WN,1326,ATL,BWI,8.0,7.0,0
10,1/1/18,WN,1517,ATL,BWI,33.0,29.0,0
11,1/1/18,WN,2020,ATL,BWI,14.0,-7.0,0
12,1/1/18,WN,5530,ATL,BWI,19.0,3.0,0
13,1/1/18,WN,323,ATL,CLE,-1.0,-6.0,0
14,1/1/18,WN,442,ATL,CLE,43.0,28.0,0
15,1/1/18,WN,544,ATL,CMH,1.0,-6.0,0
16,1/1/18,WN,614,ATL,CMH,118.0,104.0,0
17,1/1/18,WN,5680,ATL,CMH,6.0,6.0,0
18,1/1/18,WN,151,ATL,DAL,3.0,15.0,0
19,1/1/18,WN,166,ATL,DAL,12.0,6.0,0
20,1/1/18,WN,578,ATL,DAL,107.0,99.0,0
21,1/1/18,WN,939,ATL,DAL,25.0,26.0,0
22,1/1/18,WN,962,ATL,DAL,39.0,24.0,0
23,1/1/18,WN,210,ATL,DCA,1.0,8.0,0
24,1/1/18,WN,612,ATL,DCA,58.0,33.0,0
25,1/1/18,WN,1237,ATL,DCA,74.0,79.0,0
26,1/1/18,WN,6936,ATL,DCA,0.0,-18.0,0
27,1/1/18,WN,169,ATL,DEN,25.0,16.0,0
28,1/1/18,WN,551,ATL,DEN,4.0,1.0,0
29,1/1/18,WN,1981,ATL,DEN,-1.0,-7.0,0
30,1/1/18,WN,2017,ATL,DEN,5.0,25.0,0
31,1/1/18,WN,153,ATL,DTW,-1.0,-5.0,0
32,1/1/18,WN,315,ATL,DTW,58.0,47.0,0
33,1/1/18,WN,1322,ATL,DTW,38.0,34.0,0
34,1/1/18,WN,203,ATL,FLL,3.0,2.0,0
35,1/1/18,WN,530,ATL,FLL,59.0,54.0,0
36,1/1/18,WN,595,ATL,FLL,-3.0,0.0,0
37,1/1/18,WN,1649,ATL,FLL,7.0,-4.0,0
38,1/1/18,WN,1741,ATL,FLL,0.0,14.0,0
39,1/1/18,WN,165,ATL,GSP,1.0,-7.0,0
40,1/1/18,WN,246,ATL,GSP,34.0,25.0,0
41,1/1/18,WN,1638,ATL,GSP,15.0,3.0,0
42,1/1/18,WN,324,ATL,HOU,24.0,8.0,0
43,1/1/18,WN,557,ATL,HOU,-2.0,-10.0,0
44,1/1/18,WN,805,ATL,HOU,315.0,291.0,0
45,1/1/18,WN,1913,ATL,HOU,-1.0,-1.0,0
46,1/1/18,WN,5557,ATL,HOU,0.0,-8.0,0
47,1/1/18,WN,5634,ATL,HOU,406.0,384.0,0
48,1/1/18,WN,1512,ATL,IAD,0.0,-13.0,0
49,1/1/18,WN,6057,ATL,IAD,40.0,28.0,0
50,1/1/18,WN,140,ATL,IND,49.0,22.0,0
51,1/1/18,WN,209,ATL,IND,-3.0,-7.0,0
52,1/1/18,WN,2034,ATL,IND,44.0,41.0,0
53,1/1/18,WN,474,ATL,JAX,16.0,34.0,0
54,1/1/18,WN,740,ATL,JAX,38.0,39.0,0
55,1/1/18,WN,1188,ATL,JAX,0.0,5.0,0
56,1/1/18,WN,253,ATL,LAS,-5.0,-16.0,0
57,1/1/18,WN,384,ATL,LAS,11.0,26.0,0
58,1/1/18,WN,1814,ATL,LAS,12.0,-4.0,0
59,1/1/18,WN,172,ATL,LAX,67.0,50.0,0
60,1/1/18,WN,339,ATL,LAX,94.0,80.0,0
61,1/1/18,WN,5622,ATL,LAX,13.0,-8.0,0
62,1/1/18,WN,225,ATL,LGA,4.0,-17.0,0
63,1/1/18,WN,1775,ATL,LGA,17.0,1.0,0
64,1/1/18,WN,5470,ATL,LGA,17.0,11.0,0
65,1/1/18,WN,5812,ATL,LGA,30.0,51.0,0
66,1/1/18,WN,6302,ATL,LGA,5.0,21.0,0
67,1/1/18,WN,212,ATL,MCI,35.0,29.0,0
68,1/1/18,WN,1292,ATL,MCI,53.0,32.0,0
69,1/1/18,WN,1901,ATL,MCI,3.0,0.0,0
70,1/1/18,WN,200,ATL,MCO,-4.0,11.0,0
71,1/1/18,WN,286,ATL,MCO,18.0,18.0,0
72,1/1/18,WN,385,ATL,MCO,251.0,256.0,0
73,1/1/18,WN,410,ATL,MCO,13.0,16.0,0
74,1/1/18,WN,522,ATL,MCO,62.0,63.0,0
75,1/1/18,WN,1685,ATL,MCO,22.0,25.0,0
76,1/1/18,WN,393,ATL,MDW,17.0,24.0,0
77,1/1/18,WN,1479,ATL,MDW,17.0,49.0,0
78,1/1/18,WN,1518,ATL,MDW,153.0,157.0,0
79,1/1/18,WN,1911,ATL,MDW,48.0,37.0,0
80,1/1/18,WN,6049,ATL,MDW,38.0,36.0,0
81,1/1/18,WN,6363,ATL,MDW,24.0,24.0,0
82,1/1/18,WN,213,ATL,MKE,-3.0,-21.0,0
83,1/1/18,WN,479,ATL,MKE,23.0,2.0,0
84,1/1/18,WN,1588,ATL,MSP,0.0,-13.0,0
85,1/1/18,WN,6406,ATL,MSP,1.0,-16.0,0
86,1/1/18,WN,168,ATL,MSY,-3.0,-7.0,0
87,1/1/18,WN,195,ATL,MSY,26.0,29.0,0
88,1/1/18,WN,711,ATL,MSY,30.0,22.0,0
89,1/1/18,WN,818,ATL,MSY,17.0,8.0,0
90,1/1/18,WN,5918,ATL,OAK,10.0,-7.0,0
91,1/1/18,WN,211,ATL,PBI,43.0,38.0,0
92,1/1/18,WN,1508,ATL,PHL,9.0,-7.0,0
93,1/1/18,WN,6281,ATL,PHL,0.0,-12.0,0
94,1/1/18,WN,144,ATL,PHX,12.0,9.0,0
95,1/1/18,WN,1027,ATL,PHX,19.0,-5.0,0
96,1/1/18,WN,199,ATL,PIT,-4.0,-14.0,0
97,1/1/18,WN,502,ATL,PIT,35.0,24.0,0
98,1/1/18,WN,423,ATL,RDU,13.0,0.0,0
99,1/1/18,WN,567,ATL,RDU,50.0,28.0,0
100,1/1/18,WN,1247,ATL,RDU,76.0,62.0,0
101,1/1/18,WN,1095,ATL,RIC,0.0,-8.0,0
102,1/1/18,WN,1153,ATL,RIC,6.0,-6.0,0
103,1/1/18,WN,1719,ATL,RIC,34.0,18.0,0
104,1/1/18,WN,1096,ATL,RSW,9.0,-1.0,0
105,1/1/18,WN,4025,ATL,RSW,-4.0,23.0,0
106,1/1/18,WN,1575,ATL,SAN,11.0,6.0,0
107,1/1/18,WN,436,ATL,SAT,124.0,109.0,0
108,1/1/18,WN,1961,ATL,SAT,119.0,121.0,0
109,1/1/18,WN,176,ATL,STL,0.0,-7.0,0
110,1/1/18,WN,1647,ATL,STL,-2.0,18.0,0
111,1/1/18,WN,6006,ATL,STL,16.0,5.0,0
112,1/1/18,WN,6278,ATL,STL,14.0,10.0,0
113,1/1/18,WN,164,ATL,TPA,3.0,-1.0,0
114,1/1/18,WN,532,ATL,TPA,13.0,8.0,0
115,1/1/18,WN,573,ATL,TPA,6.0,1.0,0
116,1/1/18,WN,1319,ATL,TPA,141.0,141.0,0
117,1/1/18,WN,1792,ATL,TPA,55.0,48.0,0
118,1/1/18,WN,5568,ATL,TPA,17.0,25.0,0
119,1/1/18,WN,395,LAX,ABQ,-6.0,-13.0,0
120,1/1/18,WN,5797,LAX,ABQ,-3.0,-16.0,0
121,1/1/18,WN,1153,LAX,ATL,9.0,-8.0,0
122,1/1/18,WN,2034,LAX,ATL,-1.0,-16.0,0
123,1/1/18,WN,6049,LAX,ATL,29.0,27.0,0
124,1/1/18,WN,5372,LAX,AUS,7.0,-11.0,0
125,1/1/18,WN,5989,LAX,AUS,2.0,-15.0,0
126,1/1/18,WN,6177,LAX,AUS,17.0,-4.0,0
127,1/1/18,WN,299,LAX,BNA,123.0,103.0,0
128,1/1/18,WN,353,LAX,BNA,0.0,-16.0,0
129,1/1/18,WN,5902,LAX,BNA,-2.0,-21.0,0
130,1/1/18,WN,493,LAX,BWI,2.0,-24.0,0
131,1/1/18,WN,5457,LAX,BWI,60.0,38.0,0
132,1/1/18,WN,6168,LAX,BWI,-4.0,-14.0,0
133,1/1/18,WN,17,LAX,DAL,-4.0,-17.0,0
134,1/1/18,WN,1493,LAX,DAL,-1.0,5.0,0
135,1/1/18,WN,1494,LAX,DAL,25.0,7.0,0
136,1/1/18,WN,5420,LAX,DAL,109.0,91.0,0
137,1/1/18,WN,445,LAX,DEN,1.0,-23.0,0
138,1/1/18,WN,784,LAX,DEN,-7.0,-29.0,0
139,1/1/18,WN,1729,LAX,DEN,87.0,75.0,0
140,1/1/18,WN,1784,LAX,DEN,55.0,32.0,0
141,1/1/18,WN,5575,LAX,DEN,37.0,18.0,0
142,1/1/18,WN,5858,LAX,DEN,-7.0,-19.0,0
143,1/1/18,WN,5944,LAX,DEN,-4.0,-9.0,0
144,1/1/18,WN,6109,LAX,DEN,64.0,47.0,0
145,1/1/18,WN,148,LAX,ELP,3.0,-10.0,0
146,1/1/18,WN,6033,LAX,ELP,38.0,41.0,0
147,1/1/18,WN,223,LAX,HOU,0.0,-9.0,0
148,1/1/18,WN,1147,LAX,HOU,3.0,-7.0,0
149,1/1/18,WN,1870,LAX,HOU,-2.0,-14.0,0
150,1/1/18,WN,6327,LAX,HOU,-1.0,-19.0,0
151,1/1/18,WN,6380,LAX,HOU,29.0,2.0,0
152,1/1/18,WN,1011,LAX,IND,-4.0,-12.0,0
153,1/1/18,WN,8,LAX,LAS,80.0,67.0,0
154,1/1/18,WN,105,LAX,LAS,-5.0,0.0,0
155,1/1/18,WN,197,LAX,LAS,-2.0,-2.0,0
156,1/1/18,WN,285,LAX,LAS,7.0,0.0,0
157,1/1/18,WN,332,LAX,LAS,-3.0,-3.0,0
158,1/1/18,WN,638,LAX,LAS,14.0,17.0,0
159,1/1/18,WN,1088,LAX,LAS,-4.0,-5.0,0
160,1/1/18,WN,1566,LAX,LAS,52.0,49.0,0
161,1/1/18,WN,5887,LAX,LAS,48.0,47.0,0
162,1/1/18,WN,6438,LAX,LAS,25.0,21.0,0
163,1/1/18,WN,1549,LAX,MCI,-5.0,-19.0,0
164,1/1/18,WN,5621,LAX,MCI,-4.0,-23.0,0
165,1/1/18,WN,6226,LAX,MCI,22.0,9.0,0
166,1/1/18,WN,206,LAX,MDW,27.0,12.0,0
167,1/1/18,WN,415,LAX,MDW,1.0,-18.0,0
168,1/1/18,WN,1507,LAX,MDW,-4.0,-7.0,0
169,1/1/18,WN,1814,LAX,MDW,0.0,-14.0,0
170,1/1/18,WN,1930,LAX,MDW,16.0,7.0,0
171,1/1/18,WN,5536,LAX,MDW,96.0,83.0,0
172,1/1/18,WN,528,LAX,MKE,2.0,-1.0,0
173,1/1/18,WN,6097,LAX,MSY,5.0,-5.0,0
174,1/1/18,WN,6154,LAX,MSY,39.0,15.0,0
175,1/1/18,WN,102,LAX,OAK,41.0,24.0,0
176,1/1/18,WN,243,LAX,OAK,4.0,-12.0,0
177,1/1/18,WN,416,LAX,OAK,-3.0,20.0,0
178,1/1/18,WN,464,LAX,OAK,15.0,0.0,0
179,1/1/18,WN,499,LAX,OAK,17.0,27.0,0
180,1/1/18,WN,752,LAX,OAK,-3.0,-2.0,0
181,1/1/18,WN,936,LAX,OAK,-4.0,-21.0,0
182,1/1/18,WN,1410,LAX,OAK,-1.0,0.0,0
183,1/1/18,WN,1660,LAX,OAK,12.0,0.0,0
184,1/1/18,WN,1688,LAX,OAK,5.0,-10.0,0
185,1/1/18,WN,1908,LAX,OAK,83.0,60.0,0
186,1/1/18,WN,5756,LAX,OAK,5.0,-17.0,0
187,1/1/18,WN,6137,LAX,OAK,38.0,27.0,0
188,1/1/18,WN,1531,LAX,PDX,55.0,31.0,0
189,1/1/18,WN,1934,LAX,PDX,-5.0,-19.0,0
190,1/1/18,WN,55,LAX,PHX,7.0,-1.0,0
191,1/1/18,WN,202,LAX,PHX,16.0,25.0,0
192,1/1/18,WN,891,LAX,PHX,11.0,3.0,0
193,1/1/18,WN,1157,LAX,PHX,-6.0,-3.0,0
194,1/1/18,WN,1165,LAX,PHX,29.0,20.0,0
195,1/1/18,WN,5551,LAX,PHX,-5.0,-10.0,0
196,1/1/18,WN,6072,LAX,PHX,-2.0,-13.0,0
197,1/1/18,WN,6269,LAX,PHX,28.0,19.0,0
198,1/1/18,WN,6314,LAX,PHX,11.0,16.0,0
199,1/1/18,WN,5740,LAX,PIT,31.0,11.0,0
200,1/1/18,WN,1148,LAX,RNO,24.0,18.0,0
201,1/1/18,WN,1717,LAX,RNO,-4.0,-16.0,0
202,1/1/18,WN,6417,LAX,RNO,17.0,14.0,0
203,1/1/18,WN,1880,LAX,SAT,-1.0,-24.0,0
204,1/1/18,WN,6165,LAX,SAT,7.0,-13.0,0
205,1/1/18,WN,100,LAX,SFO,12.0,4.0,0
206,1/1/18,WN,360,LAX,SFO,-7.0,-21.0,0
207,1/1/18,WN,1129,LAX,SFO,-1.0,0.0,0
208,1/1/18,WN,1131,LAX,SFO,61.0,47.0,0
209,1/1/18,WN,1152,LAX,SFO,-5.0,-19.0,0
210,1/1/18,WN,1156,LAX,SFO,2.0,-3.0,0
211,1/1/18,WN,1162,LAX,SFO,34.0,27.0,0
212,1/1/18,WN,1170,LAX,SFO,2.0,-2.0,0
213,1/1/18,WN,1819,LAX,SFO,12.0,9.0,0
214,1/1/18,WN,4140,LAX,SFO,-4.0,-13.0,0
215,1/1/18,WN,120,LAX,SJC,-1.0,-13.0,0
216,1/1/18,WN,213,LAX,SJC,-3.0,-22.0,0
217,1/1/18,WN,310,LAX,SJC,29.0,33.0,0
218,1/1/18,WN,546,LAX,SJC,-5.0,-27.0,0
219,1/1/18,WN,831,LAX,SJC,-4.0,-6.0,0
220,1/1/18,WN,947,LAX,SJC,37.0,30.0,0
221,1/1/18,WN,1576,LAX,SJC,67.0,55.0,0
222,1/1/18,WN,1602,LAX,SJC,-6.0,-17.0,0
223,1/1/18,WN,1709,LAX,SJC,24.0,12.0,0
224,1/1/18,WN,1990,LAX,SJC,5.0,-4.0,0
225,1/1/18,WN,6103,LAX,SJC,81.0,68.0,0
226,1/1/18,WN,233,LAX,SLC,11.0,-1.0,0
227,1/1/18,WN,1639,LAX,SLC,-3.0,-16.0,0
228,1/1/18,WN,1797,LAX,SLC,127.0,128.0,0
229,1/1/18,WN,267,LAX,SMF,12.0,-6.0,0
230,1/1/18,WN,444,LAX,SMF,8.0,-5.0,0
231,1/1/18,WN,658,LAX,SMF,19.0,1.0,0
